Date,Open,High,Low,Close,Adj Close,Volume
2024-01-11,26.799999,28.500000,25.410000,25.540001,25.540001,4781900
2024-01-12,25.530001,25.530001,23.820000,23.959999,23.959999,3261800
2024-01-16,23.770000,23.872999,23.020000,23.719999,23.719999,2224500
2024-01-17,23.520000,23.580000,23.080000,23.400000,23.400000,1956000
2024-01-18,23.400000,23.400000,22.230000,22.340000,22.340000,2856900
2024-01-19,22.530001,23.049999,22.010000,22.730000,22.730000,4603700
2024-01-22,22.270000,22.330000,21.520000,21.969999,21.969999,2280000
2024-01-23,21.250000,21.639000,21.049999,21.389999,21.389999,2329200
2024-01-24,21.850000,21.948000,21.566999,21.600000,21.600000,1671000
2024-01-25,21.860001,21.889999,21.570000,21.730000,21.730000,1260100
2024-01-26,22.469999,23.040001,22.420000,22.910000,22.910000,2831900
2024-01-29,22.900000,23.650000,22.790001,23.570000,23.570000,2239700
2024-01-30,23.730000,23.870001,23.594999,23.780001,23.780001,1684500
2024-01-31,23.320000,23.865000,23.169001,23.219999,23.219999,1264400
2024-02-01,23.030001,23.600000,23.030001,23.450001,23.450001,1315200
2024-02-02,23.299999,23.709999,23.280001,23.410000,23.410000,1729800
2024-02-05,23.620001,23.680000,23.059999,23.120001,23.120001,1001200
2024-02-06,23.370001,23.667000,23.370001,23.520000,23.520000,880900
2024-02-07,23.530001,24.158001,23.400000,24.100000,24.100000,1912700
2024-02-08,24.610001,24.889999,24.490000,24.850000,24.850000,1988300
2024-02-09,25.660000,26.299999,25.540001,25.950001,25.950001,2059000
2024-02-12,26.270000,27.513000,26.270000,27.400000,27.400000,3209900
2024-02-13,26.730000,27.025000,26.400000,26.990000,26.990000,3684900
2024-02-14,28.230000,28.459999,27.990000,28.260000,28.260000,3330800
2024-02-15,28.660000,28.870001,28.170000,28.230000,28.230000,4990700
2024-02-16,28.580000,28.639000,28.181999,28.340000,28.340000,1712900
2024-02-20,28.559999,28.590000,27.690001,28.370001,28.370001,6324300
2024-02-21,27.780001,28.059999,27.645000,27.820000,27.820000,1196200
2024-02-22,27.889999,28.430000,27.844999,28.420000,28.420000,1096300
2024-02-23,27.959999,28.004999,27.629999,27.900000,27.900000,1534700
2024-02-26,28.049999,30.010000,28.049999,29.770000,29.770000,2829800
2024-02-27,31.070000,31.469999,30.730000,31.150000,31.150000,2914500
2024-02-28,32.830002,35.110001,32.250000,32.970001,32.970001,7881400
2024-02-29,34.590000,34.769001,32.970001,33.830002,33.830002,4537600
2024-03-01,34.099998,34.580002,33.410000,34.430000,34.430000,3234400
2024-03-04,35.730000,37.145000,35.720001,36.950001,36.950001,5043500
2024-03-05,36.970001,37.900002,32.529999,33.810001,33.810001,9046600
2024-03-06,36.509998,36.910000,35.669998,36.599998,36.599998,3430000
2024-03-07,36.790001,37.209999,36.410000,36.959999,36.959999,4037600
2024-03-08,37.200001,38.430000,36.099998,37.849998,37.849998,8228500
2024-03-11,39.500000,39.825001,38.939999,39.360001,39.360001,5633800
2024-03-12,39.459999,39.950001,37.497002,38.990002,38.990002,5712200
2024-03-13,39.740002,40.160000,39.160000,40.160000,40.160000,2932800
2024-03-14,39.599998,39.680000,37.330002,37.830002,37.830002,4377600
2024-03-15,37.009998,38.570000,36.790001,37.709999,37.709999,4130100
2024-03-18,37.080002,37.410000,36.299999,36.500000,36.500000,2714500
2024-03-19,34.759998,35.900002,33.959999,35.139999,35.139999,4167200
2024-03-20,34.570000,36.040001,33.869999,35.939999,35.939999,3981800
2024-03-21,36.900002,36.919998,35.391998,35.549999,35.549999,2585900
2024-03-22,35.020000,35.110001,34.167999,34.840000,34.840000,2780100
2024-03-25,36.529999,38.840000,36.529999,38.799999,38.799999,3225100
2024-03-26,38.660000,38.740002,37.799999,37.910000,37.910000,2234800
2024-03-27,39.090000,39.160000,37.330002,37.459999,37.459999,1917300
2024-03-28,38.799999,39.150002,38.470001,38.709999,38.709999,3192800
2024-04-01,38.209999,38.279999,37.150002,38.070000,38.070000,1897700
2024-04-02,35.360001,36.169998,35.200001,35.970001,35.970001,1991000
2024-04-03,35.860001,36.520000,35.750000,35.919998,35.919998,2288800
2024-04-04,36.700001,37.869999,36.639999,37.380001,37.380001,2678000
2024-04-05,36.490002,37.410000,36.490002,36.730000,36.730000,2754800
