Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDBTC,Bitcoin per United States Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Daily From Jul 2010 To Apr 2024<BR>,,
Date,Ticker,Open,High,Low,Close
01/01/2023,USDBTC,16537.5,16621.9,16499.7,16618.4
01/02/2023,USDBTC,16618.4,16766.9,16551,16674.3
01/03/2023,USDBTC,16673.1,16773.2,16607.2,16674.2
01/04/2023,USDBTC,16674.2,16976.5,16656.5,16852.1
01/05/2023,USDBTC,16852.2,16877.9,16772.3,16829.8
01/06/2023,USDBTC,16829.8,17012.3,16707.6,16950.9
01/07/2023,USDBTC,16950.9,16979.6,16909.7,16943.6
01/08/2023,USDBTC,16943.6,17119,16913.8,17119
01/09/2023,USDBTC,17119,17390.8,17107.1,17180.1
01/10/2023,USDBTC,17180.1,17491,17151.7,17439.1
01/11/2023,USDBTC,17440.5,17989.8,17323.9,17942.3
01/12/2023,USDBTC,17941,19055.3,17915.5,18851.3
01/13/2023,USDBTC,18850.8,19981.6,18723.8,19921.7
01/14/2023,USDBTC,19926.9,21185.6,19898.6,20958.2
01/15/2023,USDBTC,20956,21032.2,20585.7,20879.8
01/16/2023,USDBTC,20880.1,21416.8,20698.9,21184.2
01/17/2023,USDBTC,21184.4,21506.4,20926.2,21137.1
01/18/2023,USDBTC,20670.6,20770,20670.1,20709.2
01/19/2023,USDBTC,20670.6,21169.4,20669.7,21081.2
01/20/2023,USDBTC,21074.9,22718.5,20879.3,22677.2
01/21/2023,USDBTC,22677.5,23304.5,22461.1,22775.7
01/22/2023,USDBTC,22775.7,23068.7,22323,22707.8
01/23/2023,USDBTC,22709,23161.8,22527.9,22915.5
01/24/2023,USDBTC,22916.3,23156.1,22517.1,22632.5
01/25/2023,USDBTC,22632.5,23779,22366.3,23055.1
01/26/2023,USDBTC,23055.2,23259.5,22869,23016
01/27/2023,USDBTC,23016,23480.3,22602.9,23074.6
01/28/2023,USDBTC,23074.6,23182.3,22889.8,23027.9
01/29/2023,USDBTC,23023.5,23952.9,22973.3,23753.1
01/30/2023,USDBTC,22832.2,22887.3,22724.9,22876.7
01/31/2023,USDBTC,22832.2,23262.9,22724.9,23125.1
02/01/2023,USDBTC,23124.7,23784.5,22809.6,23725.6
02/02/2023,USDBTC,23726.2,24207.2,23398.1,23427.6
02/03/2023,USDBTC,23429.1,23694.1,23233.8,23431.2
02/04/2023,USDBTC,23433,23580,23253,23315
02/05/2023,USDBTC,23315,23419,22799,22936
02/06/2023,USDBTC,22936,23130.6,22633.7,22761.8
02/07/2023,USDBTC,22761.8,23338.8,22748.2,23251.7
02/08/2023,USDBTC,23251.7,23425.1,22691.7,22964.6
02/09/2023,USDBTC,22964.6,23003.6,21744.6,21792.5
02/10/2023,USDBTC,21792.5,21933.6,21491.7,21635
02/11/2023,USDBTC,21643,21903,21614,21866
02/12/2023,USDBTC,21866,22095,21667,21796
02/13/2023,USDBTC,21782.7,21887.5,21418.7,21772.6
02/14/2023,USDBTC,21776.9,22308.6,21556.2,22198.5
02/15/2023,USDBTC,22198.5,24330.9,22050.8,24327.9
02/16/2023,USDBTC,24318,25232,23527,23535
02/17/2023,USDBTC,23535,25018,23362,24579
02/18/2023,USDBTC,24579,24853,24450,24633
02/19/2023,USDBTC,24633,25200,24246,24294
02/20/2023,USDBTC,24294,25114,23867,24831
02/21/2023,USDBTC,24831,25162,24177,24407
02/22/2023,USDBTC,24460,24485,23586,24186
02/23/2023,USDBTC,24186,24598,23625,23947
02/24/2023,USDBTC,23947,24150,22911,23201
02/25/2023,USDBTC,23201,23222,22810,23177
02/26/2023,USDBTC,23177,23669,23083,23560
02/27/2023,USDBTC,23560,23891,23167,23504
02/28/2023,USDBTC,23504,23609,23067,23134
03/01/2023,USDBTC,23134,23979,23037,23646
03/02/2023,USDBTC,23646,23792,23208,23472
03/03/2023,USDBTC,23472,23482,22003,22363
03/04/2023,USDBTC,22363,22405,22176,22346
03/05/2023,USDBTC,22346,22650,22225,22431
03/06/2023,USDBTC,22431,22586,22315,22404
03/07/2023,USDBTC,22404,22552,21967,22209
03/08/2023,USDBTC,22209,22286,21622,21712
03/09/2023,USDBTC,21712,21835,20096,20378
03/10/2023,USDBTC,20378,20381,19592,20269
03/11/2023,USDBTC,20201,20783,19874,20538
03/12/2023,USDBTC,20538,22132,20363,22079
03/13/2023,USDBTC,22079,24560,21891,24187
03/14/2023,USDBTC,24121.5,26365.9,23994.6,24699.7
03/15/2023,USDBTC,24744,25245,23939,24321
03/16/2023,USDBTC,24321,25213,24202,25057
03/17/2023,USDBTC,25057,27562,24954,27350
03/18/2023,USDBTC,27350,27605,26595,26913
03/19/2023,USDBTC,26913,28329,26838,27936
03/20/2023,USDBTC,27936,28438,27130,27712
03/21/2023,USDBTC,27712,28435,27313,28112
03/22/2023,USDBTC,28112,28813,26620,27263
03/23/2023,USDBTC,27263,28741,27121,28304
03/24/2023,USDBTC,28304,28372,27017,27458
03/25/2023,USDBTC,27458,27779,27173,27482
03/26/2023,USDBTC,27482,28171,27438,27986
03/27/2023,USDBTC,27986,28027,26542,27129
03/28/2023,USDBTC,27129,27512,26637,27265
03/29/2023,USDBTC,27265,28645,27253,28344
03/30/2023,USDBTC,28344,29170,27692,28017
03/31/2023,USDBTC,28017,28651,27556,28484
04/01/2023,USDBTC,28473.7,28795.1,28285.6,28456.1
04/02/2023,USDBTC,28456.1,28522.8,27871.7,28198.3
04/03/2023,USDBTC,28194.7,28458.4,27256.9,27802.1
04/04/2023,USDBTC,27790,28445,27671,28153
04/05/2023,USDBTC,28153,28750,27837,28153
04/06/2023,USDBTC,28153,28163,27728,28018
04/07/2023,USDBTC,28018,28082,27755,27889
04/08/2023,USDBTC,27910.4,28153.1,27863.8,27941.2
04/09/2023,USDBTC,27941.2,28522.7,27809.2,28326.6
04/10/2023,USDBTC,28320,29724,28159,29614
04/11/2023,USDBTC,29614,30484,29579,30190
04/12/2023,USDBTC,30190,30450,29683,29876
04/13/2023,USDBTC,29892.4,30524.1,29864.5,30387.4
04/14/2023,USDBTC,30387.4,30964.9,30026,30472.5
04/15/2023,USDBTC,30472.6,30586.5,30208.8,30299.6
04/16/2023,USDBTC,30299.2,30545.3,30134.6,30310.3
04/17/2023,USDBTC,30285,30289,29277,29434
04/18/2023,USDBTC,29434,30471,29169,30392
04/19/2023,USDBTC,30392,30412,28645,28826
04/20/2023,USDBTC,28826,29098,28035,28248
04/21/2023,USDBTC,28248,28378,27191,27287
