Date,Open,High,Low,Close,Adj Close,Volume
2024-01-11,41.990002,50.700001,40.259998,40.880001,40.880001,16805200
2024-01-12,40.740002,40.810001,37.950001,38.349998,38.349998,11359300
2024-01-16,37.900002,38.139999,36.910000,38.099998,38.099998,8479200
2024-01-17,37.450001,37.689999,37.029999,37.400002,37.400002,7913000
2024-01-18,37.400002,37.520000,35.599998,35.759998,35.759998,10271800
2024-01-19,36.080002,36.915001,35.284000,36.490002,36.490002,13809200
2024-01-22,35.610001,35.770000,34.490002,35.180000,35.180000,11640300
2024-01-23,33.950001,34.685001,33.770000,34.340000,34.340000,10426500
2024-01-24,35.000000,35.200001,34.580002,34.599998,34.599998,7558400
2024-01-25,35.049999,35.099998,34.610001,34.810001,34.810001,6420800
2024-01-26,36.049999,36.965000,35.990002,36.750000,36.750000,9170600
2024-01-29,36.779999,37.935001,36.599998,37.820000,37.820000,8468300
2024-01-30,38.029999,38.299999,37.855000,38.130001,38.130001,7622200
2024-01-31,37.380001,38.310001,37.185001,37.240002,37.240002,6036500
2024-02-01,37.080002,37.880001,37.060001,37.660000,37.660000,4569500
2024-02-02,37.389999,38.060001,37.369999,37.580002,37.580002,4965100
2024-02-05,37.950001,37.980000,37.009998,37.070000,37.070000,3112800
2024-02-06,37.540001,37.985001,37.500000,37.730000,37.730000,3485900
2024-02-07,37.770000,38.764999,37.549999,38.660000,38.660000,5326400
2024-02-08,39.450001,39.970001,39.279999,39.880001,39.880001,6192800
2024-02-09,41.150002,42.250000,40.990002,41.639999,41.639999,9931400
2024-02-12,42.209999,44.180000,42.180000,44.020000,44.020000,10984400
2024-02-13,42.939999,43.369999,42.340000,43.290001,43.290001,7508000
2024-02-14,45.299999,45.660000,44.880001,45.320000,45.320000,10127000
2024-02-15,45.990002,46.305000,45.220001,45.320000,45.320000,8284400
2024-02-16,45.770000,45.965000,45.230000,45.430000,45.430000,5270700
2024-02-20,45.810001,45.860001,44.430000,45.520000,45.520000,7629400
2024-02-21,44.599998,45.029999,44.355000,44.619999,44.619999,7084100
2024-02-22,44.740002,45.599998,44.674999,45.560001,45.560001,5628000
2024-02-23,44.849998,44.939999,44.320000,44.750000,44.750000,5043800
2024-02-26,45.000000,48.150002,44.980000,47.720001,47.720001,12383100
2024-02-27,49.860001,50.480000,49.279999,49.930000,49.930000,11636500
2024-02-28,52.720001,56.360001,51.720001,52.840000,52.840000,27106800
2024-02-29,55.480000,55.759998,52.849998,54.330002,54.330002,18719000
2024-03-01,54.680000,55.459999,53.570000,55.189999,55.189999,14596900
2024-03-04,57.340000,59.584999,57.299999,59.270000,59.270000,18891300
2024-03-05,59.320000,60.830002,52.130001,54.180000,54.180000,37918500
2024-03-06,58.549999,59.200001,57.209999,58.630001,58.630001,19354800
2024-03-07,59.020000,59.720001,58.400002,59.250000,59.250000,19018400
2024-03-08,59.689999,61.639999,57.910000,60.730000,60.730000,27887800
2024-03-11,63.380001,63.869999,62.480000,63.090000,63.090000,22552500
2024-03-12,63.330002,64.080002,60.119999,62.500000,62.500000,26079300
2024-03-13,63.740002,64.419998,62.779999,64.400002,64.400002,16266200
2024-03-14,63.590000,63.671001,59.849998,60.630001,60.630001,20022200
2024-03-15,59.340000,61.849998,59.009998,60.480000,60.480000,19648000
2024-03-18,59.430000,60.000000,58.209999,58.529999,58.529999,10788900
2024-03-19,55.820000,57.580002,54.439999,56.349998,56.349998,17171600
2024-03-20,55.509998,57.810001,54.320000,57.590000,57.590000,18122400
2024-03-21,59.189999,59.230000,56.759998,57.049999,57.049999,12246800
2024-03-22,56.180000,56.290001,54.799999,55.910000,55.910000,9232000
2024-03-25,58.590000,62.279999,58.580002,62.200001,62.200001,20329900
2024-03-26,62.060001,62.139999,60.660000,60.799999,60.799999,9752400
2024-03-27,62.740002,62.827000,59.880001,60.040001,60.040001,9846300
2024-03-28,62.250000,62.810001,61.709999,62.060001,62.060001,10605800
2024-04-01,61.340000,61.400002,59.580002,61.029999,61.029999,9116300
2024-04-02,56.810001,58.049999,56.459999,57.660000,57.660000,11730500
2024-04-03,57.570000,58.590000,57.334999,57.590000,57.590000,8557300
2024-04-04,58.900002,60.740002,58.750000,59.930000,59.930000,9555500
2024-04-05,58.580002,60.049999,58.465000,58.939999,58.939999,7142400
